year,dest_province,inflow,outflow,net_migration,partners,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change
2008,ADANA,45493,58316,-12823,80,,,
2009,ADANA,53685,54109,-424,80,-7.214143631250424,18.007165937616776,12399.0
2010,ADANA,53096,57402,-4306,80,6.085863719529105,-1.0971407283226209,-3882.0
2011,ADANA,50523,62402,-11879,80,8.71049789205951,-4.845939430465574,-7573.0
2012,ADANA,45927,59294,-13367,80,-4.9806095958462855,-9.096846980583095,-1488.0
2013,ADANA,50598,62933,-12335,80,6.137214557965387,10.170487948265716,1032.0
2014,ADANA,51562,63181,-11619,80,0.39406988384471653,1.9052136448080903,716.0
2015,ADANA,52647,64192,-11545,80,1.60016460644814,2.10426282921532,74.0
2016,ADANA,51466,60759,-9293,80,-5.348018444666003,-2.243242729880146,2252.0
2017,ADANA,49509,62834,-13325,80,3.4151319146134673,-3.8025103952123773,-4032.0
2018,ADANA,51660,70638,-18978,80,12.42002737371486,4.344664606435189,-5653.0
2019,ADANA,52290,60900,-8610,80,-13.785781024377819,1.2195121951219523,10368.0
2020,ADANA,47088,45832,1256,80,-24.742200328407225,-9.948364888123928,9866.0
2021,ADANA,53649,65628,-11979,80,43.192529237214174,13.933486238532101,-13235.0
2022,ADANA,55018,62156,-7138,80,-5.290424818674955,2.5517717012432772,4841.0
2023,ADANA,66104,77898,-11794,80,25.326597593152723,20.14976916645461,-4656.0
2008,ADIYAMAN,12155,20971,-8816,80,,,
2009,ADIYAMAN,12091,18295,-6204,80,-12.760478756377857,-0.5265322912381687,2612.0
2010,ADIYAMAN,14150,20135,-5985,80,10.057392730254167,17.029195269208497,219.0
2011,ADIYAMAN,13873,23939,-10066,80,18.892475788428122,-1.957597173144876,-4081.0
2012,ADIYAMAN,14323,22591,-8268,80,-5.630978737624792,3.243710805161104,1798.0
2013,ADIYAMAN,15715,24077,-8362,80,6.5778407330352895,9.718634364309153,-94.0
2014,ADIYAMAN,16578,24330,-7752,80,1.0507953648710489,5.49156856506523,610.0
2015,ADIYAMAN,18523,24064,-5541,80,-1.09330045211673,11.732416455543483,2211.0
2016,ADIYAMAN,18789,21201,-2412,80,-11.897440159574469,1.4360524753009862,3129.0
2017,ADIYAMAN,18040,22741,-4701,80,7.263808310928721,-3.9863750066528314,-2289.0
2018,ADIYAMAN,22034,22897,-863,80,0.6859856646585394,22.139689578713973,3838.0
2019,ADIYAMAN,17619,24821,-7202,80,8.402847534611514,-20.037215212852864,-6339.0
2020,ADIYAMAN,16163,16936,-773,80,-31.767454977639897,-8.263806118394912,6429.0
2021,ADIYAMAN,17598,24860,-7262,80,46.78790741615493,8.87830229536597,-6489.0
2022,ADIYAMAN,18780,23359,-4579,80,-6.037811745776345,6.716672349130581,2683.0
2023,ADIYAMAN,23294,48372,-25078,80,107.0807825677469,24.036208732694362,-20499.0
2008,AFYONKARAHİSAR,18270,24861,-6591,80,,,
