year,province,in_migration,out_migration,net_migration,out_migration_growth
2008,ADANA,45493,58316,-12823,
2009,ADANA,53685,54109,-424,-7.214143631250424
2010,ADANA,53096,57402,-4306,6.085863719529105
2011,ADANA,50523,62402,-11879,8.71049789205951
2012,ADANA,45927,59294,-13367,-4.9806095958462855
2013,ADANA,50598,62933,-12335,6.137214557965387
2014,ADANA,51562,63181,-11619,0.39406988384471653
2015,ADANA,52647,64192,-11545,1.60016460644814
2016,ADANA,51466,60759,-9293,-5.348018444666003
2017,ADANA,49509,62834,-13325,3.4151319146134673
2018,ADANA,51660,70638,-18978,12.42002737371486
2019,ADANA,52290,60900,-8610,-13.785781024377819
2020,ADANA,47088,45832,1256,-24.742200328407225
2021,ADANA,53649,65628,-11979,43.192529237214174
2022,ADANA,55018,62156,-7138,-5.290424818674955
2023,ADANA,66104,77898,-11794,25.326597593152723
2024,ADANA,55342,56108,-766,-27.972476828673397
2008,ADIYAMAN,12155,20971,-8816,
2009,ADIYAMAN,12091,18295,-6204,-12.760478756377857
2010,ADIYAMAN,14150,20135,-5985,10.057392730254167
2011,ADIYAMAN,13873,23939,-10066,18.892475788428122
2012,ADIYAMAN,14323,22591,-8268,-5.630978737624792
2013,ADIYAMAN,15715,24077,-8362,6.5778407330352895
2014,ADIYAMAN,16578,24330,-7752,1.0507953648710489
2015,ADIYAMAN,18523,24064,-5541,-1.09330045211673
2016,ADIYAMAN,18789,21201,-2412,-11.897440159574469
2017,ADIYAMAN,18040,22741,-4701,7.263808310928721
2018,ADIYAMAN,22034,22897,-863,0.6859856646585394
2019,ADIYAMAN,17619,24821,-7202,8.402847534611514
2020,ADIYAMAN,16163,16936,-773,-31.767454977639897
2021,ADIYAMAN,17598,24860,-7262,46.78790741615493
2022,ADIYAMAN,18780,23359,-4579,-6.037811745776345
2023,ADIYAMAN,23294,48372,-25078,107.0807825677469
2024,ADIYAMAN,22295,21158,1137,-56.25981973042256
2008,AFYONKARAHİSAR,18270,24861,-6591,
2009,AFYONKARAHİSAR,20223,22256,-2033,-10.478259120711153
2010,AFYONKARAHİSAR,17451,24119,-6668,8.37077641984183
2011,AFYONKARAHİSAR,17219,24063,-6844,-0.23218209710187399
2012,AFYONKARAHİSAR,24167,21738,2429,-9.66213689066201
2013,AFYONKARAHİSAR,22200,26799,-4599,23.28181065415402
2014,AFYONKARAHİSAR,21414,27100,-5686,1.1231762379193322
2015,AFYONKARAHİSAR,22922,26226,-3304,-3.225092250922512
2016,AFYONKARAHİSAR,22467,24400,-1933,-6.962556241897355
2017,AFYONKARAHİSAR,21453,25483,-4030,4.438524590163939
2018,AFYONKARAHİSAR,26976,25049,1927,-1.7030961817682377
2019,AFYONKARAHİSAR,23818,27006,-3188,7.8126871332188985
2020,AFYONKARAHİSAR,18439,19434,-995,-28.03821373028216
2021,AFYONKARAHİSAR,24643,25327,-684,30.323145003601937
2022,AFYONKARAHİSAR,23667,25425,-1758,0.38693883997316103
2023,AFYONKARAHİSAR,30431,26427,4004,3.9410029498525123
2024,AFYONKARAHİSAR,20801,25035,-4234,-5.267340220229311
2008,AKSARAY,11146,12596,-1450,
2009,AKSARAY,10217,12587,-2370,-0.07145125436646138
2010,AKSARAY,10159,13225,-3066,5.068721696988954
2011,AKSARAY,10778,13142,-2364,-0.627599243856336
2012,AKSARAY,10667,12374,-1707,-5.843859382133621
2013,AKSARAY,11491,13726,-2235,10.926135445288509
2014,AKSARAY,11936,14577,-2641,6.199912574675803
2015,AKSARAY,12205,14164,-1959,-2.8332304315016765
2016,AKSARAY,15234,12294,2940,-13.202485173679756
2017,AKSARAY,14139,13799,340,12.241743940133398
2018,AKSARAY,16680,14441,2239,4.652511051525465
2019,AKSARAY,13689,15672,-1983,8.52434041963852
2020,AKSARAY,12208,12311,-103,-21.445890760592135
2021,AKSARAY,14210,15529,-1319,26.13922508325888
2022,AKSARAY,14264,14147,117,-8.899478395260484
2023,AKSARAY,20400,15112,5288,6.821234183925928
2024,AKSARAY,13969,14893,-924,-1.4491794600317576
2008,AMASYA,11748,14268,-2520,
2009,AMASYA,11533,13187,-1654,-7.57639472946453
2010,AMASYA,11729,13726,-1997,4.087358762417526
2011,AMASYA,11424,14142,-2718,3.030744572344446
2012,AMASYA,11228,13128,-1900,-7.170131523122613
2013,AMASYA,12379,14658,-2279,11.654478976233996
2014,AMASYA,12970,14817,-1847,1.0847318870241596
2015,AMASYA,13957,15092,-1135,1.8559762435040872
2016,AMASYA,15395,13609,1786,-9.826398091704213
