year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2008,ADANA,45493,58316,-12823,2026319,80,22.45105533728895,28.7792790769864,-6.328223739697452,,,,,
2009,ADANA,53685,54109,-424,2062226,80,26.032549293821337,26.23815236545364,-0.20560307163230412,-7.214143631250424,18.007165937616776,12399.0,-8.829709405628549,6.122620668065148
2010,ADANA,53096,57402,-4306,2085225,80,25.46295963265355,27.52796460813581,-2.065004975482262,6.085863719529105,-1.0971407283226209,-3882.0,4.915789133004633,-1.859401903849958
2011,ADANA,50523,62402,-11879,2108805,80,23.95811846045509,29.591166561156676,-5.633048100701583,8.71049789205951,-4.845939430465574,-7573.0,7.494930999769922,-3.5680431252193205
2012,ADANA,45927,59294,-13367,2125635,80,21.60624942664192,27.894723223883684,-6.288473797241766,-4.9806095958462855,-9.096846980583095,-1488.0,-5.732938354312312,-0.655425696540183
2013,ADANA,50598,62933,-12335,2149260,80,23.542056335669024,29.28124098526935,-5.739184649600327,6.137214557965387,10.170487948265716,1032.0,4.970537797623731,0.5492891476414385
2014,ADANA,51562,63181,-11619,2165595,80,23.809622759564924,29.174891888834246,-5.365269129269324,0.39406988384471653,1.9052136448080903,716.0,-0.3631987335803277,0.3739155203310034
2015,ADANA,52647,64192,-11545,2183167,80,24.114966926487988,29.40315605723245,-5.288189130744464,1.60016460644814,2.10426282921532,74.0,0.7823993633565562,0.07707999852485958
2016,ADANA,51466,60759,-9293,2201670,80,23.375891936575417,27.596778808813312,-4.220886872237892,-5.348018444666003,-2.243242729880146,2252.0,-6.143480804928137,1.0673022585065723
2017,ADANA,49509,62834,-13325,2216475,80,22.33681859709674,28.348616609706855,-6.011798012610113,3.4151319146134673,-3.8025103952123773,-4032.0,2.7243679637473983,-1.7909111403722209
2018,ADANA,51660,70638,-18978,2220125,80,23.268960081076514,31.817127413996964,-8.548167332920444,12.42002737371486,4.344664606435189,-5653.0,12.235203050798793,-2.5363693203103317
2019,ADANA,52290,60900,-8610,2237940,80,23.365237673932278,27.212525804981368,-3.84728813104909,-13.785781024377819,1.2195121951219523,10368.0,-14.47208463888523,4.700879201871354
2020,ADANA,47088,45832,1256,2258718,80,20.847223956244207,20.291156310792225,0.5560676454519776,-24.742200328407225,-9.948364888123928,9866.0,-25.434498597414855,4.403355776501067
2021,ADANA,53649,65628,-11979,2263373,80,23.703119194229146,28.995662668062227,-5.29254347383308,43.192529237214174,13.933486238532101,-13235.0,42.89803017603462,-5.848611119285057
2022,ADANA,55018,62156,-7138,2274106,80,24.193243410817264,27.33205927955865,-3.1388158687413865,-5.290424818674955,2.5517717012432772,4841.0,-5.737421515584062,2.153727605091693
2023,ADANA,66104,77898,-11794,2270298,80,29.116882453316702,34.31179519164444,-5.194912738327744,25.326597593152723,20.14976916645461,-4656.0,25.536809505260607,-2.0560968695863577
2024,ADANA,55342,56108,-766,2280484,80,24.26765546261232,24.603549071162085,-0.335893608549764,-27.972476828673397,-16.280406631973854,11028.0,-28.29419465305766,4.85901912977798
2008,ADIYAMAN,12155,20971,-8816,585067,80,20.775398373177772,35.8437580653156,-15.068359692137822,,,,,
2009,ADIYAMAN,12091,18295,-6204,588475,80,20.546327371596075,31.088831301244742,-10.54250392964867,-12.760478756377857,-0.5265322912381687,2612.0,-13.265703767462888,4.525855762489153
2010,ADIYAMAN,14150,20135,-5985,590935,80,23.945103945442394,34.07312140929206,-10.12801746384966,10.057392730254167,17.029195269208497,219.0,9.599235426800456,0.4144864657990084
2011,ADIYAMAN,13873,23939,-10066,593931,80,23.357932150367635,40.306028814794985,-16.94809666442735,18.892475788428122,-1.957597173144876,-4081.0,18.292739695410344,-6.820079200577689
2012,ADIYAMAN,14323,22591,-8268,595261,80,24.06171410524123,37.95141962937266,-13.889705524131431,-5.630978737624792,3.243710805161104,1798.0,-5.841828765224399,3.058391140295919
2013,ADIYAMAN,15715,24077,-8362,597184,80,26.315172543135784,40.31755706783839,-14.002384524702604,6.5778407330352895,9.718634364309153,-94.0,6.234648035760038,-0.1126790005711733
