Location,Year,Month,Earthquake_Count,Avg_Magnitude,Max_Magnitude,Min_Magnitude,Total_Events
Ankara,2016,8,1,4.2,4.2,4.2,1
Ankara,2020,1,1,4.5,4.5,4.5,1
Ankara,2021,1,1,4.5,4.5,4.5,1
Balikesir,2015,10,1,4.4,4.4,4.4,1
Balikesir,2015,12,1,4.0,4.0,4.0,1
Balikesir,2017,3,1,4.1,4.1,4.1,1
Balikesir,2017,4,1,4.2,4.2,4.2,1
Balikesir,2017,12,1,4.0,4.0,4.0,1
Balikesir,2018,1,1,4.0,4.0,4.0,1
Balikesir,2019,12,3,4.3,4.6,4.0,3
Balikesir,2020,12,1,4.1,4.1,4.1,1
Balikesir,2021,4,1,4.0,4.0,4.0,1
Balikesir,2022,1,1,4.7,4.7,4.7,1
Balikesir,2022,6,2,4.4,4.7,4.1,2
Balikesir,2022,7,1,4.6,4.6,4.6,1
Balikesir,2022,10,1,4.2,4.2,4.2,1
Balikesir,2022,11,1,4.9,4.9,4.9,1
Istanbul,2015,4,1,4.0,4.0,4.0,1
Istanbul,2015,11,1,4.0,4.0,4.0,1
Istanbul,2015,12,1,4.0,4.0,4.0,1
Istanbul,2019,9,3,4.83,5.8,4.1,3
Istanbul,2020,1,1,4.7,4.7,4.7,1
Izmir,2015,1,1,4.3,4.3,4.3,1
Izmir,2015,2,1,4.1,4.1,4.1,1
Izmir,2015,3,1,4.1,4.1,4.1,1
Izmir,2015,7,1,4.1,4.1,4.1,1
Izmir,2015,8,1,4.0,4.0,4.0,1
Izmir,2015,9,1,4.8,4.8,4.8,1
Izmir,2015,12,1,4.0,4.0,4.0,1
Izmir,2016,6,1,4.2,4.2,4.2,1
Izmir,2016,10,1,4.4,4.4,4.4,1
Izmir,2017,1,2,4.1,4.2,4.0,2
Izmir,2017,6,17,4.48,6.2,4.0,17
Izmir,2017,8,1,4.2,4.2,4.2,1
Izmir,2017,9,1,4.1,4.1,4.1,1
Izmir,2017,11,1,4.2,4.2,4.2,1
Izmir,2017,12,1,4.8,4.8,4.8,1
Izmir,2018,2,1,4.4,4.4,4.4,1
Izmir,2018,6,1,4.2,4.2,4.2,1
Izmir,2018,9,1,4.2,4.2,4.2,1
Izmir,2018,10,1,4.1,4.1,4.1,1
Izmir,2018,11,1,4.1,4.1,4.1,1
Izmir,2019,1,1,4.3,4.3,4.3,1
Izmir,2019,8,1,4.8,4.8,4.8,1
Izmir,2020,1,1,4.0,4.0,4.0,1
Izmir,2020,7,2,4.15,4.2,4.1,2
Izmir,2020,10,38,4.26,6.6,4.0,38
Izmir,2020,11,8,4.25,4.5,4.1,8
Izmir,2020,12,2,4.2,4.3,4.1,2
Izmir,2021,1,3,4.17,4.5,4.0,3
Izmir,2021,2,14,4.43,5.1,4.0,14
Izmir,2021,4,1,4.0,4.0,4.0,1
Izmir,2021,5,2,4.25,4.3,4.2,2
Izmir,2021,7,5,4.2,4.3,4.0,5
Izmir,2021,11,3,4.53,5.1,4.2,3
Izmir,2022,1,1,4.3,4.3,4.3,1
Izmir,2022,5,1,4.4,4.4,4.4,1
Izmir,2022,8,1,5.0,5.0,5.0,1
Izmir,2022,10,1,4.0,4.0,4.0,1
