Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID,Year,Month,Year-Month
2020-01-11 13:37:36,28.2086,40.8646,10.82,0.44,Mw,4.7,Istanbul,456426,2020,1,2020-01
2019-09-26 11:26:36,28.2726,40.8416,4.58,0.32,Mw,4.1,Istanbul,447925,2019,9,2019-09
2019-09-26 10:59:25,28.214,40.8818,7.97,0.37,Mw,5.8,Istanbul,447923,2019,9,2019-09
2019-09-24 08:00:22,28.216,40.8836,5.91,0.22,Mw,4.6,Istanbul,447733,2019,9,2019-09
2015-12-15 01:13:39,29.731,42.253,50.45,0.61,Mw,4.0,Istanbul,320221,2015,12,2015-12
2015-11-16 15:45:43,28.7631,40.8181,13.23,0.43,Mw,4.0,Istanbul,316686,2015,11,2015-11
2015-04-29 04:40:53,29.3245,42.1145,23.32,0.44,Mw,4.0,Istanbul,296231,2015,4,2015-04
2021-01-10 19:53:01,33.323,40.0418,13.19,0.32,Mw,4.5,Ankara,493220,2021,1,2021-01
2020-01-23 03:54:11,33.261,40.1158,13.65,0.4,Mw,4.5,Ankara,457233,2020,1,2020-01
2016-08-02 19:30:52,33.3615,40.315,12.23,0.42,Mw,4.2,Ankara,345660,2016,8,2016-08
2022-10-26 10:27:42,28.20133,39.52776,7.01,0.55,ML,4.2,Balikesir,534739,2022,10,2022-10
2022-07-21 15:44:23,27.40228,40.15337,12.32,0.42,Mw,4.6,Balikesir,528999,2022,7,2022-07
2022-06-03 22:58:57,27.9047,39.81043,14.01,0.45,ML,4.7,Balikesir,526778,2022,6,2022-06
2022-06-03 22:13:29,27.92216,39.80744,10.98,0.32,Mw,4.1,Balikesir,526760,2022,6,2022-06
2022-01-22 19:31:42,28.79781,39.55309,7.41,0.61,Mw,4.7,Balikesir,519682,2022,1,2022-01
2021-04-21 21:17:43,28.0991,39.1401,9.14,0.43,Mw,4.0,Balikesir,500717,2021,4,2021-04
2020-12-11 14:37:49,28.1961,39.9901,7.0,0.23,Mw,4.1,Balikesir,490663,2020,12,2020-12
2019-12-10 20:46:18,27.9005,39.4411,14.36,0.27,Mw,4.0,Balikesir,453783,2019,12,2019-12
2019-12-10 20:24:05,27.9103,39.4435,11.28,0.24,Mw,4.3,Balikesir,453780,2019,12,2019-12
2019-12-10 20:14:03,27.9336,39.443,7.0,0.27,Mw,4.6,Balikesir,453779,2019,12,2019-12
2018-01-04 04:53:55,27.9778,39.3356,4.71,0.34,Mw,4.0,Balikesir,400442,2018,1,2018-01
2017-12-31 20:12:02,27.8495,40.5491,13.79,0.27,Mw,4.0,Balikesir,400190,2017,12,2017-12
2017-04-20 14:11:24,28.463,39.3975,10.59,0.42,Mw,4.2,Balikesir,369041,2017,4,2017-04
2017-03-08 20:09:58,27.6536,39.965,15.03,0.28,Mw,4.1,Balikesir,365028,2017,3,2017-03
2015-12-02 15:52:44,28.154,39.1495,10.85,0.4,Mw,4.0,Balikesir,319040,2015,12,2015-12
2015-10-28 16:20:02,27.7446,40.8003,13.04,0.41,Mw,4.4,Balikesir,315392,2015,10,2015-10
2022-11-04 00:29:21,27.20751,38.34233,14.47,0.43,MW,4.9,Balikesir,535216,2022,11,2022-11
2022-10-18 10:29:55,27.23327,37.9299,7.0,0.47,ML,4.0,Izmir,534201,2022,10,2022-10
2022-08-14 03:24:23,27.1651,37.95869,7.0,0.33,Mw,5.0,Izmir,530087,2022,8,2022-08
2022-05-13 22:08:51,26.23711,38.19233,10.62,0.4,Mw,4.4,Izmir,525782,2022,5,2022-05
2022-01-12 22:54:26,26.11127,37.72231,7.3,0.32,Mw,4.3,Izmir,519139,2022,1,2022-01
2021-11-30 10:32:23,25.9581,37.6873,7.02,0.77,Mw,4.2,Izmir,516855,2021,11,2021-11
2021-11-30 04:09:16,26.112,37.7336,7.16,0.51,Mw,4.3,Izmir,516821,2021,11,2021-11
2021-11-30 04:00:42,26.12278,37.71167,7.0,0.55,MW,5.1,Izmir,516819,2021,11,2021-11
2021-07-27 10:02:54,26.112,38.917,16.1,0.4,Mw,4.2,Izmir,507590,2021,7,2021-07
2021-07-22 01:20:22,26.068,38.9485,23.1,0.34,ML,4.2,Izmir,507210,2021,7,2021-07
2021-07-22 00:48:01,26.0683,38.9453,21.95,0.37,ML,4.0,Izmir,507207,2021,7,2021-07
2021-07-10 19:19:16,25.9983,38.9408,12.99,0.36,Mw,4.3,Izmir,506514,2021,7,2021-07
2021-07-10 14:43:21,26.0418,38.9305,7.06,0.47,Mw,4.3,Izmir,506483,2021,7,2021-07
